Acquisitions ID,Acquired Company,Acquiring Company,Year of acquisition announcement,Deal announced on,Price,Status,Terms,Acquisition Profile,News,News Link
Microsoft acquired Massive in 2006,Massive,Microsoft,2006,1/05/2006,"$200,000,000",Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/184af64fca1a360580c8cb1c9884b851,Microsoft acquired Massive,http://blog.quintura.com/2008/05/22/mangrove-capital-bets-on-russian-in-game-advertising/
AOL acquired 5min Media in 2010,5min Media,AOL,2010,28/09/2010,"$65,000,000",Undisclosed,Cash,http://www.crunchbase.com/acquisition/dcd11f7a9be200bca20d199048e2502b,Confirmed: AOL Buys Video Syndication Company 5min (For $65 Million) | TechCrunch,http://techcrunch.com/2010/09/28/aol-5min/
Yahoo! acquired Hotjobs in 2002,Hotjobs,Yahoo,2002,11/01/2002,"$436,000,000",Undisclosed,Cash,http://www.crunchbase.com/acquisition/8bcbc4768e8f954bd658035275c3f5ce,Yahoo! wants! HotJobs!,http://www.theregister.co.uk/2001/12/13/yahoo_wants_hotjobs/
Juniper Networks acquired NetScreen Technologies in 2004,NetScreen Technologies,Juniper Networks,2004,1/02/2004,"$3,400,000,000",Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/12ed87ecab57eaa97767656abfaab0c1,Juniper buys Netscreen for $3.4 billion,http://www.theregister.co.uk/2004/02/10/juniper_buys_netscreen/
Qualcomm acquired AMD Handheld Graphics in 2009,AMD Handheld Graphics,Qualcomm,2009,20/01/2009,"$65,000,000",Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/74c5469deb78acc79e2943210bc12e45,Qualcomm acquired AMD Handheld Graphics,http://www.qualcomm.com/news/releases/2009/090120_QCT_Aquires_Assets_from_AMD.html
Adobe Systems acquired Macromedia in 2005,Macromedia,Adobe,2005,3/12/2005,"$3,400,000,000",Undisclosed,Stock,http://www.crunchbase.com/acquisition/5f78550c6573033e8bdc1577cbe424ae,Macromedia - Wikipedia the free encyclopedia,http://en.wikipedia.org/wiki/Macromedia
AOL acquired Advertising.com in 2004,Advertising.com,AOL,2004,1/08/2004,"$435,000,000",Undisclosed,Cash,http://www.crunchbase.com/acquisition/a674a6a9ae250644ab1f7b085c3b4e52,,
Yahoo! acquired Kimo in 2000,Kimo,Yahoo,2000,1/11/2000,"$145,000,000",Undisclosed,Cash,http://www.crunchbase.com/acquisition/dd3cc493b5089aa8746e6c4efd5c7e50,,
Belden acquired Trapeze Networks in 2008,Trapeze Networks,Belden,2008,6/06/2008,"$133,000,000",Undisclosed,Cash,http://www.crunchbase.com/acquisition/b62cfd0d3ab9a5103545bbbe4c355e02,Belden Completes Acquisition of Trapeze Networks (NYSE:BDC),http://investor.belden.com/releasedetail.cfm?ReleaseID=322646
HP acquired 3Com in 2009,3Com,HP,2009,11/11/2009,"$2,700,000,000",Undisclosed,Cash,http://www.crunchbase.com/acquisition/ac823f39da2471c2531327d5c796b437,HP Acquires 3Com For $2.7 Billion | TechCrunch,http://techcrunch.com/2009/11/11/hp-acquires-3com-for-2-7-billion/
Facebook acquired WhatsApp in 2014,WhatsApp,Facebook,2014,19/02/2014,"$19,000,000,000",Undisclosed,"Cash, Stock",http://www.crunchbase.com/acquisition/90ad2f738079c7c0dffc66cb82487a11,"FacebookWhatsApp | TechCrunch, WhatsApp Acquisition Regulatory Filing, Facebook Buying WhatsApp For $19B Will Keep The Messaging Service Independent | TechCrunch","http://techcrunch.com/tag/facebookwhatsapp/, http://www.sec.gov/Archives/edgar/data/1326801/000132680114000010/form8k_2192014.htm, http://techcrunch.com/2014/02/19/facebook-buying-whatsapp-for-16b-in-cash-and-stock-plus-3b-in-rsus/"
CA Technologies acquired Layer 7 Technologies in 2013,Layer 7 Technologies,CA Technologies,2013,10/05/2013,"$155,000,000",Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/f5799de1d0561c53314b88bb1e382128,CA Technologies acquired Layer 7 Technologies,http://canadianvcpe.com/2013/05/10/layer-7-to-be-acquired-by-ca-technologies-for-155-million/
Dropbox acquired Mailbox in 2013,Mailbox,Dropbox,2013,15/03/2013,"$100,000,000",Undisclosed,"Cash, Stock",http://www.crunchbase.com/acquisition/6dc243eea12e59d407f7f88f05bc9c1a,"Mailbox Cost Dropbox Around $100 Million | TechCrunch, Dropbox Buys Mailbox All 13 Employees Joining And App Will Remain Separate | TechCrunch","http://techcrunch.com/2013/03/15/mailbox-cost-dropbox-around-100-million/, http://techcrunch.com/2013/03/15/dropbox-buys-mailbox-all-13-employees-joining-and-app-will-remain-separate/"
Salesforce acquired Clipboard in 2013,Clipboard,Salesforce,2013,9/05/2013,"$12,000,000",Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/8720af0226d1fb4394a6160f16bcb2ad,Seattle-based Clipboard Acquired by Salesforce Will Shut Down June 30th | Danielle Morrill,http://www.daniellemorrill.com/2013/05/seattle-based-clipboard-acquired-by-salesforce-will-shut-down-june-30th/
Salesforce acquired Desk in 2011,Desk,Salesforce,2011,21/09/2011,"$50,000,000",Undisclosed,Cash,http://www.crunchbase.com/acquisition/9a6a6779232cfe43f34f6730e4ac7ba7,Salesforce acquired Desk,http://techcrunch.com/2011/09/21/salesforce-buys-social-customer-service-saas-startup-assistly-for-50m-in-cash/
eBay acquired Skype in 2005,Skype,eBay,2005,12/09/2005,"$2,600,000,000",Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/e31c2aa8ad5da28c9ea1a80637c532d1,EBay Buys Skype for $2.6 Billion | PCWorld,http://www.pcworld.com/article/122516/article.html
Samsung Electronics acquired Boxee in 2013,Boxee,Samsung Electronics,2013,3/07/2013,"$30,000,000",Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/bdcc5cc91887400a349f11f613fba3ff,Streaming Entertainment Startup Boxee Acquired By Samsung For Around $30M | TechCrunch,http://techcrunch.com/2013/07/03/streaming-entertainment-startup-boxee-acquired-by-samsung-for-around-30m/
Symantec acquired VeriSign Authentication Services in 2010,VeriSign Authentication Services,Symantec,2010,19/05/2010,"$1,300,000,000",Undisclosed,Cash,http://www.crunchbase.com/acquisition/1998950e516a960d22a032f0d85e5c3f,Symantec buys authentication assets of VeriSign for $1.28B,http://venturebeat.com/2010/05/19/symantec-buys-authentication-assets-of-verisign-for-1-28b/
Yahoo! acquired eGroups in 2000,eGroups,Yahoo,2000,28/06/2000,"$432,000,000",Undisclosed,Stock,http://www.crunchbase.com/acquisition/8aed5bce79bb3608baed903672f203d8,Yahoo buys email list service eGroups in stock deal - CNET News,http://news.cnet.com/2100-1023-242517.html
AOL acquired MapQuest in 1999,MapQuest,AOL,1999,22/12/1999,"$1,100,000,000",Undisclosed,Stock,http://www.crunchbase.com/acquisition/9f98598a17df5faeb8694d97d095b320,AOL Buys MapQuest in Billion Dollar Deal,http://www.ecommercetimes.com/story/2068.html
Amazon acquired Audible in 2008,Audible,Amazon,2008,31/01/2008,"$300,000,000",Undisclosed,Cash,http://www.crunchbase.com/acquisition/35d9bdd8ab1314be58fc0c47ec1cf977,Amazon Strengthens Its Digital Hand With $300 Million Purchase of Audible | TechCrunch,http://techcrunch.com/2008/01/31/amazon-strengthens-its-digital-hand-with-300-million-purchase-of-audible/
Google acquired Wildfire Google in 2012,Wildfire,Google,2012,31/07/2012,"$350,000,000",Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/383987bac064166c827c1ebe85ee02fd,Google Acquires Wildfire Will Now Sell Facebook And Twitter Marketing Services [Update: $350M Price] | TechCrunch,http://techcrunch.com/2012/07/31/google-acquires-wildfire/
Yahoo! acquired interclick in 2011,interclick,Yahoo,2011,1/11/2011,"$270,000,000",Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/83fe1de15de4371e21009467cd5ac53a,Yahoo To Buy Data-Driven Advertising Network Interclick For $270 Million | TechCrunch,http://techcrunch.com/2011/11/01/yahoo-buys-data-driven-ad-company-interclick-for-270-million/
Dell acquired Quest Software in 2012,Quest Software,Dell,2012,2/07/2012,"$2,400,000,000",Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/e80068d5222cdd4bd0d077bd2cd71b59,Dell Acquires Quest Software For $2.4 Billion | TechCrunch,http://techcrunch.com/2012/07/02/dell-acquires-quest-software-for-2-4-billion/
Comcast acquired Radiance in 2008,Radiance,Comcast,2008,7/10/2008,"$5,000,000",Undisclosed,Cash,http://www.crunchbase.com/acquisition/7d71dd1ccb901d7eb61de9bd06f2ed9e,Comcast acquired Radiance,http://www.paidcontent.org/entry/419-comcast-buys-video-delivery-firm-radiance-for-5-million/
Yahoo! acquired Rivals.com in 2007,Rivals.com,Yahoo,2007,20/06/2007,"$100,000,000",Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/d7771f1c6aa5e86f050f8e38d22a2927,Yahoo Acquires Rivals for $100 million | TechCrunch,http://techcrunch.com/2007/06/20/yahoo-acquires-rival-for-100million/
AOL acquired Nullsoft in 1999,Nullsoft,AOL,1999,1/06/1999,"$80,000,000",Undisclosed,Stock,http://www.crunchbase.com/acquisition/ae64f358d091777a2569ad18b3729283,AOL buys Spinner Nullsoft for $400 million - CNET News,http://news.cnet.com/2100-1023-226540.html
EMC acquired VMware in 2004,VMware,EMC,2004,9/01/2004,"$635,000,000",Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/da266f024a73adfda1cf6ba911591841,EMC to Buy VMware | United States,http://www.vmware.com
Yahoo! acquired Kelkoo in 2004,Kelkoo,Yahoo,2004,26/03/2004,"$610,000,000",Undisclosed,Cash,http://www.crunchbase.com/acquisition/44c8d5f13a4280198344b206fdf49158,BBC NEWS | Business | Yahoo buys Kelkoo for 475m euros,http://news.bbc.co.uk/2/hi/business/3570775.stm
eBay acquired Half.com in 2000,Half.com,eBay,2000,13/06/2000,"$350,000,000",Undisclosed,Stock,http://www.crunchbase.com/acquisition/e6bef26c2c954e1fb0ff4874da175ed4,eBay Broadens Scope with Half.com Buy,http://www.ecommercetimes.com/story/3555.html
eBay acquired Den Bla Avis in 2008,Den Bla Avis,eBay,2008,6/10/2008,"$380,000,000",Undisclosed,Cash,http://www.crunchbase.com/acquisition/2155c8505d6f9286dbc9f357f696ed3d,eBay Buys Denmark's DBA for $380 million | TechCrunch,http://techcrunch.com/2008/10/06/ebay-buys-denmarks-dba-for-380-million/
Oracle acquired Taleo in 2012,Taleo,Oracle,2012,9/02/2012,"$1,900,000,000",Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/63b06c1b3066c363d1511e4ef6ff9481,Oracle Buys Talent Management Solutions Company Taleo For $1.9 Billion | TechCrunch,http://techcrunch.com/2012/02/09/oracle-buys-talent-management-solutions-company-taleo-for-1-9-billion/
Microsoft acquired Parature in 2014,Parature,Microsoft,2014,6/01/2014,"$100,000,000",Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/7f985b493a4218cfac0f56a9714465f2,Microsoft Acquires Parature For $100M In Deal To Bolster Knowledge Base For Dynamics CRM Platform | TechCrunch,http://techcrunch.com/2014/01/06/microsoft-acquires-parature-for-100m-in-deal-to-bolster-knowledge-base-for-dynamics-crm-platform/
Facebook acquired Bolt | Peters in 2012,Bolt | Peters,Facebook,2012,21/06/2012,"$50,000,000",Undisclosed,"Cash, Stock",http://www.crunchbase.com/acquisition/59d2b30e5a61bfa9fc6fe9a3cbf1caca,,
General Motors acquired EDS in 1984,EDS,General Motors,1984,27/06/1984,"$2,600,000,000",Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/b8316cdc862cbf4d269e9365f3a14dcd,Hewlett-Packard Buying EDS Once GM Owned - AutoObserver,http://www.edmunds.com/autoobserver-archive/2008/05/hewlett-packard-buying-eds-once-gm-owned.html
Vodafone acquired Wayfinder in 2008,Wayfinder,Vodafone,2008,8/12/2008,"$31,000,000",Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/4fe598f6c13b6ccf9282ee43f17f88c2,Vodafone Acquires Sweden's WayFinder For €24 Million | TechCrunch,http://techcrunch.com/2008/12/08/vodafone-acquires-swedens-wayfinder-for-e24-million/
Reachd acquired Bebo in 2010,Bebo,Reachd,2010,17/06/2010,"$10,000,000",Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/66853da8a277fcf19962ecddf873496c,Confirmed: Criterion Capital Partners Acquires Bebo From AOL | TechCrunch,http://techcrunch.com/2010/06/17/confirmed-criterion-capital-partners-acquires-bebo-from-aol/
HP acquired Mercury Interactive in 2006,Mercury Interactive,HP,2006,26/07/2006,"$4,500,000,000",Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/ce5edf64edf4df8d8b14db3cac9451df,HP News - HP to Acquire Mercury Interactive Corp.,http://www8.hp.com/us/en/hp-news/press-release.html?id=169236
Facebook acquired Parse in 2013,Parse,Facebook,2013,25/04/2013,"$90,000,000",Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/73bedb00043ee3c6903135eee2cf6a8c,Facebook Buys Parse To Offer Mobile Development Tools As Its First Paid B2B Service | TechCrunch,http://techcrunch.com/2013/04/25/facebook-parse/
Oracle acquired Eloqua in 2012,Eloqua,Oracle,2012,20/12/2012,"$871,000,000",Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/10350b36028e1e3ba556053cf9d9b3e2,Oracle buys cloud marketing firm Eloqua for $871M,http://venturebeat.com/2012/12/20/oracle-buys-eloqua/
Digital Sky Technologies acquired ICQ in 2010,ICQ,Digital Sky Technologies,2010,28/04/2010,"$187,500,000",Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/1a0c7f6a9e1b90e32657aed650fda60a,"AOL Sells Instant Messaging Service ICQ To DST For $187.5 Million | TechCrunch, AOL sells ICQ to Russian internet company","http://techcrunch.com/2010/04/28/aol-sells-instant-messaging-service-icq-to-dst-for-187-5-million/, https://web.archive.org/web/20100430191635/http://www.ft.com/cms/s/0/2ba3294a-52c1-11df-a192-00144feab49a.html"
Google acquired Jaiku in 2007,Jaiku,Google,2007,9/10/2007,"$12,000,000",Undisclosed,Cash,http://www.crunchbase.com/acquisition/df5e1ffabfdbc21f6555320e03f8cea0,Google buys Jaiku Twitter losing ground,http://venturebeat.com/2007/10/09/google-takes-jaiku-to-the-altar/
Google acquired Skybox Imaging in 2014,Skybox Imaging,Google,2014,10/06/2014,"$500,000,000",Pending,Undisclosed,http://www.crunchbase.com/acquisition/d9466e73b5dec0a3adf610f5e5f2d99b,"Google Confirms Purchase Of Satellite Startup Skybox Imaging For $500M | TechCrunch, Google Buys Satellite Company Skybox Imaging For $500 Million - Business insider","http://techcrunch.com/2014/06/10/google-is-confirming-purchase-of-satellite-startup-skybox-imaging-today/, http://www.businessinsider.in/Google-Buys-Satellite-Company-Skybox-Imaging-For-500-Million/articleshow/36362198.cms"
Google acquired Admeld in 2011,Admeld,Google,2011,1/06/2011,"$400,000,000",Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/4e7652d531e673c839a3d5bee161d77a,Google Acquires AdMeld For $400 Million | TechCrunch,http://techcrunch.com/2011/06/09/google-acquires-admeld-for-400-million/
Google acquired Jambool in 2010,Jambool,Google,2010,9/08/2010,"$70,000,000",Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/6be57e65d7ff3e5020ec3b07150c4792,Another Piece To Google's Social Puzzle: To Acquire Jambool For $70 Million | TechCrunch,http://techcrunch.com/2010/08/09/google-aquires-jambool-social-gold/
Cisco acquired Navini Networks in 2007,Navini Networks,Cisco Systems,2007,23/10/2007,"$330,000,000",Undisclosed,"Cash, Stock",http://www.crunchbase.com/acquisition/c1b6203a8191bf259bda52fb0b54ce1e,Cisco Announces Definitive Agreement to Acquire Navini Networks - The Network: Cisco's Technology News Site,http://newsroom.cisco.com/dlls/2007/corp_102307.html
Google acquired GrandCentral in 2007,GrandCentral,Google,2007,1/07/2007,"$60,000,000",Undisclosed,Cash,http://www.crunchbase.com/acquisition/419cabe14d715f643e9bc9d0fb445cca,Deal is Confirmed: Google Acquired GrandCentral | TechCrunch,http://techcrunch.com/2007/07/02/deal-is-confirmed-google-acquired-grandcentral/
Google acquired Channel Intelligence in 2013,Channel Intelligence,Google,2013,6/02/2013,"$125,000,000",Undisclosed,Cash,http://www.crunchbase.com/acquisition/bb8c4624866cc9537f201ec082e1cbdd,Google Acquires Channel Intelligence For $125M To Boost Product Referrals And E-Commerce With Users | TechCrunch,http://techcrunch.com/2013/02/06/google-acquires-channel-intelligence-to-boost-product-recommendations-and-e-commer-with-users/
Cisco acquired CoreOptics in 2010,CoreOptics,Cisco Systems,2010,20/05/2010,"$99,000,000",Undisclosed,"Cash, Stock",http://www.crunchbase.com/acquisition/67e7c8835fa50884221218ff17ac838e,Cisco acquired CoreOptics,http://techcrunch.com/2010/05/20/cisco-pays-99-million-in-cash-for-optical-networking-firm-coreoptics/
HP acquired Lefthand Networks in 2008,Lefthand Networks,HP,2008,30/09/2008,"$360,000,000",Undisclosed,Cash,http://www.crunchbase.com/acquisition/3ec17a2536f59ff507c95d006eba4721,HP Press Release: HP Acquires LeftHand Networks to Extend Leadership in Storage and Virtualization Solutions,http://www.hp.com/hpinfo/newsroom/press/2008/081001a.html
eBay acquired Hunch in 2011,Hunch,eBay,2011,21/11/2011,"$80,000,000",Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/bc696a02594b4e903c99df41ebe176f2,Ebay's Got A Hunch For Around $80 Million,http://uncrunched.com/2011/11/21/ebays-got-a-hunch-for-around-80-million/
IBM acquired Netezza in 2010,Netezza,IBM,2010,20/09/2010,"$1,700,000,000",Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/d873d3908e5a262b341c320ac31e2958,IBM buys data analytics company Netezza for $1.7B,http://venturebeat.com/2010/09/20/ibm-buys-data-analytics-company-netezza-for-1-7b/
Juniper Networks acquired Trapeze Networks in 2010,Trapeze Networks,Juniper Networks,2010,1/11/2010,"$152,000,000",Undisclosed,Cash,http://www.crunchbase.com/acquisition/837e69a8150399da6cb912f824e37158,Juniper Networks Buys Trapeze Networks for $152 Million in Cash,http://www.bloomberg.com/news/2010-11-16/juniper-networks-buys-trapeze-networks-for-152-million-in-cash.html
Intel acquired NetEffect in 2008,NetEffect,Intel,2008,15/10/2008,"$8,000,000",Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/c4aa8e46ccb08673e39c77f73049e5db,Intel Acquires Ethernet Tech Maker NetEffect - InformationWeek,http://www.informationweek.com/infrastructure/networking/intel-acquires-ethernet-tech-maker-neteffect-/d/d-id/1072956?
SAP acquired Sybase in 2010,Sybase,SAP,2010,12/05/2010,"$5,800,000,000",Undisclosed,Cash,http://www.crunchbase.com/acquisition/89dd6a42c4baf0b37a4bc92bbf312b43,SAP To Acquire Sybase For $5.8 Billion To Compete With Oracle | TechCrunch,http://techcrunch.com/2010/05/12/confirmed-sap-to-acquire-sybase-for-5-8-billion/
Yahoo! acquired Associated Content in 2010,Associated Content,Yahoo,2010,18/05/2010,"$90,000,000",Undisclosed,Cash,http://www.crunchbase.com/acquisition/da819d1cec7fea839e7c253df9c304ce,What Is Yahoo Thinking? Buying Associated Content Opens Up A Whole Can Of Worms | TechCrunch,http://techcrunch.com/2010/05/18/yahoo-associated-content/
Teradata acquired Aster Data Systems in 2011,Aster Data Systems,Teradata,2011,3/03/2011,"$263,000,000",Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/ccaaff4e63e28c16b82ce001b8c2f814,Big Pay Day For Big Data. Teradata Buys Aster Data For $263 Million | TechCrunch,http://techcrunch.com/2011/03/03/teradata-buys-aster-data-263-million/
Yahoo! acquired Aviate in 2014,Aviate,Yahoo,2014,10/01/2014,"$80,000,000",Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/0a53304a1a643731cff3fd799a7d11eb,Sources: Yahoo Bought Aviate For $80M | TechCrunch,http://techcrunch.com/2014/01/09/aviate-80-million/
Samsung Electronics acquired SmartThings in 2014,SmartThings,Samsung Electronics,2014,16/07/2014,"$200,000,000",Pending,Undisclosed,http://www.crunchbase.com/acquisition/2a1a56f7e58ae0a266e17dc41743275a,"SmartThings Acquired By Samsung For Around $200 Million | TechCrunch, Samsung to Acquire SmartThings for Around $200 Million","http://techcrunch.com/2014/08/14/smartthings-acquired-by-samsung-for-around-200-million/, http://www.dmwmedia.com/news/2014/07/16/samsung-to-acquire-smartthings-for-around-200-million?utm_medium=referral&utm_source=pulsenews"
Yahoo! acquired Broadcast.com in 1999,Broadcast.com,Yahoo,1999,1/11/1999,"$5,700,000,000",Undisclosed,Stock,http://www.crunchbase.com/acquisition/269e9a77574d7c07858d0b280390e0cd,Yahoo! to Announce AcquisitionOf Broadcast.com for $5.7 Billion,http://online.wsj.com/news/articles/SB922916873273123235
AOL acquired Userplane in 2006,Userplane,AOL,2006,14/08/2006,"$40,000,000",Undisclosed,"Cash, Stock",http://www.crunchbase.com/acquisition/0826fb77d5812df6e378f23119fc5275,Userplane purchased by AOL | TechCrunch,http://techcrunch.com/2006/08/14/userplane-purchased-by-aol/
EMC acquired Silver Tail Systems in 2012,Silver Tail Systems,EMC,2012,30/10/2012,"$250,000,000",Undisclosed,Cash,http://www.crunchbase.com/acquisition/6c37e9f392722182ba3d7148916fb172,EMC to acquire fraud detection firm Silver Trail Systems - Boston Business Journal,http://www.bizjournals.com/boston/blog/mass-high-tech/2012/10/emc-to-acquire-fraud-detection-firm-silver.html
Terremark Worldwide acquired Terremark Worldwide in 2009,Terremark Worldwide,Terremark Worldwide,2009,12/11/2009,"$11,500,000",Undisclosed,Cash,http://www.crunchbase.com/acquisition/d6725f2f69edad523662a8ed9cef974f,Terremark Worldwide acquired Terremark Worldwide,http://www.freshnews.com/news/243196/terremark-acquires-leading-data-storage-company
Google acquired Global IP Solutions in 2010,Global IP Solutions,Google,2010,18/05/2010,"$68,200,000",Undisclosed,Cash,http://www.crunchbase.com/acquisition/88e89eb720b964cb0c45c7e881bed330,Google To Buy Global IP Solutions For $68.2 Million In Cash | TechCrunch,http://techcrunch.com/2010/05/18/google-to-buy-global-ip-solutions-for-68-2-million-in-cash/
IBM acquired Storwize in 2010,Storwize,IBM,2010,14/06/2010,"$140,000,000",Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/9ab62f870fbd5137b0866cc9cb70f167,IBM close to buying Storwize for $140 million says Israeli site,http://venturebeat.com/2010/06/14/storwize-ibm/
PayPal acquired Where in 2011,Where,PayPal,2011,3/07/1905,"$135,000,000",Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/07ca169796d6787f326d6acd409bb455,Where.com - Wikipedia the free encyclopedia,http://en.wikipedia.org/wiki/Where.com
