Company,CrunchBase Profile,Image,Tagline,Year Founded,Market Categories,Address (HQ),City (HQ),State / Region (HQ),Country (HQ),Description,Homepage,Twitter,Acquired by,Acquisitions ID,API
VideoSurf,http://www.crunchbase.com/organization/videosurf,"http://a2.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397192023/829f22108ee32a1765ffa45014a3ddb2.jpg","VideoSurf, a video discovery company, combines social insights with computer vision technology to search and identify videos on any device.",1840.0,Hardware + Software,"400 S. El Camino Real, Suite 500, San Mateo, California, United States",San Mateo,California,United States,"VideoSurf is a video discovery company that helps consumers find what to watch from the world of video in an experience that is uniquely theirs. VideoSurf combines social insights with patented computer vision technology to discover, search and identify videos on any device. In addition to audio recognition, VideoSurf's technology ""sees"" frames inside videos, providing superior search relevancy and an enhanced user experience. VideoSurf's video discovery mobile app lets users discover, search and identify TV episodes, movies, music videos and video clips by doing a visual and audio search using their smartphone, or by typing a query directly into the app. Users can discover videos by simply pointing their phones at a television or computer screen to capture a few seconds of what they are watching. The VideoSurf mobile app quickly identifies the episode and celebrities, provides more information about what was identified and suggests other videos to watch. In addition, users can share what they are watching and help friends discover new videos by posting directly to Facebook and Twitter. The company was founded by a team of proven entrepreneurs and leading experts in search, multi-grid techniques, computer vision and fast computation.",http://www.videosurf.com,http://twitter.com/VideoSurf,Microsoft,Microsoft acquired VideoSurf in 2011,http://api.crunchbase.com/v/2/organization/videosurf?user_key=0ebdc8274e821149894a240090945265
Whale Communications,http://www.crunchbase.com/organization/whale-communications,"http://a5.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397194952/dcface00a5e915f48510d96ccd845c92.png","Whale Communications acquired by Microsoft is a provider of secure access products, such as SSL, VPN, and Web application firewalls.",1998.0,"Trusted Networks, Security, Software","400 Kelby Street, One Parker Plaza, 15th Floor, Fort Lee, New Jersey, United States",Fort Lee,New Jersey,United States,"As of July 26, 2006, Whale Communications Ltd. was acquired by Microsoft Corporation. Whale Communications Ltd. provides business-driven secure access products. It provides secure access products, including secure sockets layer virtual private networks, and Web application firewalls, as well as application security, and endpoint security offerings. Whale's solutions provide remote access, content inspection, and granular access control. It enables businesses to protect corporate applications and data when accessed remotely by mobile workers, partners, and customers. Whale's Intelligent Application Gateway products enable various employees, business partners, and customer users to securely and easily access their critical business applications and resources. The Intelligent Application Gateway Express Edition provides secure remote access through the browser to widely used enterprise applications for a small number of users. It offers organizations out-of-the-box functionality and straightforward integration with existing enterprise directories, authentication schema, and Web Single Sign On. Whale's flagship Intelligent Application Gateway Enterprise Edition, is an application access and security appliance, designed to support an unlimited number of users in various configurations with independent policy sets. It offers professional services and training. The company serves Fortune 500 and Global 1000 companies, as well as government and public sector organizations. Whale Communications Ltd. was founded in 1998 and is headquartered in Fort Lee, New Jersey, with additional offices in Germany, the United Kingdom, the Netherlands, and Israel, and representation in France.",,,Microsoft,Microsoft acquired Whale Communications in 2006,http://api.crunchbase.com/v/2/organization/whale-communications?user_key=0ebdc8274e821149894a240090945265
YaData,http://www.crunchbase.com/organization/yadata,"http://a3.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397184030/6f2b073687b8c1c5a98fd49369601aa4.png",YaData provides ad targeting software enabling marketers to micro-segment consumers.,2005.0,"Advertising, Analytics","10 Yehudit Blvd, Tel Aviv, Tel Aviv, Israel",Tel Aviv,Tel Aviv,Israel,"YaData was purchased by Microsoft on February 27, 2008. It offers analytic software for marketers in the United States, including segment discovery and ranking, which combines statistical techniques for segment discovery. It also offers segment relationship management, which performs segment related activities, including segment discovery, analysis and research, marketing decision support, and tracking to monitor segment evolution. The company serves telecom, banking, insurance, credit card, and Web ad industries. YaData, Ltd. was founded in 2005 and is based in Tel Aviv, Israel.",http://www.yadata.com,,Microsoft,Microsoft acquired YaData in 2010,http://api.crunchbase.com/v/2/organization/yadata?user_key=0ebdc8274e821149894a240090945265
Navteq,http://www.crunchbase.com/organization/navteq,"http://a2.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397193716/fa8f90848e47b1d6aedf6ac34bb287f5.jpg","NAVTEQ develops digital map, traffic and location data for navigation and location-based platforms in North America and Europe.",1985.0,Software,"425 West Randolph Street, Chicago, Illinois, United States",Chicago,Illinois,United States,"NAVTEQ Corporation develops and delivers digital map, traffic, and location data for navigation and location-based platforms in North America and Europe. It offers driver assistance systems; and NAVTEQ Discover Cities, which combines pedestrian thoroughfares, such as sidewalks, walkways, tunnels, and bridges with time-sensitive public transit system information to enable multi-modal routing. The company also provides NAVTEQ Voice, which enables systems to speak commands through speech synthesis and allows automatic speech recognition; NAVTEQ digital map database that provides a point of interest database; and a GPS application that provides real-time traffic data via NavTeq Traffic for iPhones in the United States and Canada. In addition, it offers customer program management, technical content support, technical software support, and distribution services. The company's maps provide representation of a road network, including turn restrictions, physical barriers and gates, one-way streets, restricted access, and relative road heights. Its digital map information is used in automotive navigation systems, portable and wireless devices, Internet-based mapping applications, and government and business solutions, as well as by enterprises and system vendors. NAVTEQ Corporation was formerly known as Navigation Technologies Corporation and changed its name to NAVTEQ Corporation in 2004. The company was founded in 1985 and is headquartered in Chicago, Illinois with additional offices in the United States and internationally. As of July 10, 2008, NAVTEQ Corporation operates as a subsidiary of Nokia Inc.",http://www.navteq.com,,Nokia,Nokia acquired Navteq in 2008,http://api.crunchbase.com/v/2/organization/navteq?user_key=0ebdc8274e821149894a240090945265
Rooftop Communications,http://www.crunchbase.com/organization/rooftop-communications-llc,"http://a5.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397189671/899d7ac6138f914467990197fcdd3068.gif","Rooftop Communicationsoperates as an advertising agency. It offers brand advertising, direct marketing, public relations, media, and",1995.0,Advertising,"2526 St. Paul Street, Baltimore, Maryland, United States",Baltimore,Maryland,United States,"Rooftop Communicationsoperates as an advertising agency. It offers brand advertising, direct marketing, public relations, media, and Internet services. Rooftop Communicationsis based in Baltimore, Maryland.",http://www.rooftopcommunications.com,,Nokia,Nokia acquired Rooftop Communicationsin 1999,http://api.crunchbase.com/v/2/organization/rooftop-communications-llc?user_key=0ebdc8274e821149894a240090945265
Symbian Software Ltd.,http://www.crunchbase.com/organization/symbian-software-ltd,"http://a5.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397197460/668440bbd06a7f7f8291c686eced2e4f.png","Symbian develops the operating system used on Nokia, Motorola and Samsung mobile and smart phones.",2007.0,"Open Source, Software, Mobile",,,,,"Symbian is the developer of the operating system used on Nokia, Motorola and Samsung mobile and smart phones.Symbian Software was bought by Nokia in 2008.  Symbian is the global market leader in mobile OS with more than 40% market share.",http://www.symbian.com,,Nokia,Nokia acquired Symbian Software Ltd. in 2008,http://api.crunchbase.com/v/2/organization/symbian-software-ltd?user_key=0ebdc8274e821149894a240090945265
Twango,http://www.crunchbase.com/organization/twango,"http://a2.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397181602/21ab163499753b5ef8f2f076d69b66ce.png","Twango is an online photo and video-sharing service that enables users to organize and share photos, videos and other personal media.",,"Curated Web, E-Commerce","Redmond, Washington, United States",Redmond,Washington,United States,"Twango is an online photo and video-sharing service. It combines online storage with social networking, allowing users to organize and share photos, videos and other personal media. Twango was founded by a group of 5 ex-Microsoft employees in the fall of 2004 and officially launched in October 2006Twango claims to support a total of 110 file types including the necessary ones like pictures, videos, audio files, Microsoft Office documents, and PDFs. Users can upload their media to Twango via the Web UI, email, or a cell phone / mobile device. Twango also lets users specify access settings, to make their media private or public. Other features include conversion and synchronization of all iPod-compatible files, mobile uploads, embedding, and tagging.Similar companies include Multiply, PeopleAggregator, and eSnips was acquired by Nokia in July 2007.",http://www.twango.com,,Nokia,Nokia acquired Twango in 2007,http://api.crunchbase.com/v/2/organization/twango?user_key=0ebdc8274e821149894a240090945265
Agile Software,http://www.crunchbase.com/organization/agile-software,"http://a1.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397199714/da81b3a2ebab9a3cd6505e26e112713f.gif","Agile Software develops an integrated suite of PLM software products, and offers business consulting and implementation services.",1995.0,Software,"6373 San Ignacio Avenue, San Jose, California, United States",San Jose,California,United States,"Agile Software Corporation develops and sells an integrated suite of product lifecycle management PLM software products, and offers related business consulting and implementation services. Its PLM product lines include Agile 9, Agile e6, Agile Advantage, and Cimmetry. The company's principal software products within its product lines are Agile product collaboration and product data management, Agile product portfolio management, Agile product cost management, Agile product quality management, Agile product governance and compliance, Agile engineering collaboration, AutoVue, Agile product catalog, Agile requirements management, Agile customer needs management, Agile configuration management, and Agile maintenance repair and overhaul. It also offers assistance in planning, managing, implementing, and supporting its solutions, as well as provides solution delivery and training services. The company serves customers in electronics and high technology, life sciences, consumer packaged goods, automotive, industrial products, and aerospace and defense industries. It sells its products through direct sales force, distributors, systems integrators, and consulting partners. The company offers its products in North America, Europe, and the Asia-Pacific. Agile Software was founded in 1995 and is headquartered in San Jose, California. As of July 18, 2007, Agile Software Corp. is a subsidiary of Oracle Corp.",http://www.agile.com,,Oracle,Oracle acquired Agile Software in 2007,http://api.crunchbase.com/v/2/organization/agile-software?user_key=0ebdc8274e821149894a240090945265
ATG (Art Technology Group),http://www.crunchbase.com/organization/atg-arttechnologygroup,"http://a2.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397183129/43f26e76f281e4e34321027aee5a4412.png",Art Technology Group is an internet technology company specializing in e-commerce software and on-demand optimization applications.,1991.0,Curated Web,"Forbury Rd, Apex Plaza, Reading, Reading, Great Britain",Reading,Reading,Great Britain,"ATG is a e-commerce solution provider for many brands around the world. offer an integrated suite of Internet customer relationship management and e-commerce software applications, as well as related application development, integration and support services. Their solution enables businesses to understand, manage and build online customer relationships and to market, sell and support products and services over the Internet more effectively. Their Dynamo product suite includes an application server that is specifically designed to enable and support Web applications, as well as e-commerce and Internet customer management applications. An application server is a software program that facilitates the development, deployment and management of other software programs. Their solution is designed to provide businesses with the core application platform and software tools required to develop and deploy personalized, reliable, large-scale Web sites for conducting e-commerce.",http://www.atg.com,http://twitter.com/atg_ecommerce,Oracle,Oracle acquired ATG (Art Technology Group) in 2011,http://api.crunchbase.com/v/2/organization/atg-arttechnologygroup?user_key=0ebdc8274e821149894a240090945265
BEA Systems,http://www.crunchbase.com/organization/bea-systems,"http://a4.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397184060/6369dd9f8ef7e3755d533481fc4ec2d7.gif",BEA provides enterprise application and service infrastructure software enabling companies to streamline operations and cut costs.,1995.0,Software,"Seminole, Texas, United States",Seminole,Texas,United States,"BEA is a leading provider of enterprise software tailored to delivering business solutions.  Their middleware offerings allow companies to streamline operations and cut costs through deployment of BEA's infrastructure technologies, creating what the company calls a ""Liquid Enterprise"".",http://www.bea.com,,Oracle,Oracle acquired BEA Systems in 2008,http://api.crunchbase.com/v/2/organization/bea-systems?user_key=0ebdc8274e821149894a240090945265
BigMachines,http://www.crunchbase.com/organization/bigmachines,"http://a1.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397202632/f058cbd79693d4eb3048e62070fc431d.gif",BigMachines offers a CPQ cloud that accelerates the conversion of sales opportunities into revenue by automating the sales order process.,1999.0,Software,"570 Lake Cook Road, Suite 225, Deerfield, Illinois, United States",Deerfield,Illinois,United States,"BigMachines is the global leader in enabling B2B sales, helping companies sell more and sell faster. BigMachines' award-winning on-demand configurator, pricing and quoting, proposal generator, and B2B eCommerce software solutions empower sales across customers' channels by streamlining their sales processes from opportunity to order. Using BigMachines software, sales teams and channels can quickly configure products, generate quotes and proposals, manage complex pricing, generate legal contracts, and manage orders. BigMachines offers extensive reporting capabilities and easily integrates to leading CRM and ERP systems, including those from salesforce.com, Oracle, Microsoft and SAP. BigMachines' rapidly growing customer base includes global leaders such as Kodak's GCG, Siemens, Ingersoll Rand, and NTT Communications, as well as innovative growth companies such as Acme Packet and Voltaire.",http://www.bigmachines.com,http://twitter.com/BigMachines,Oracle,Oracle acquired BigMachines in 2013,http://api.crunchbase.com/v/2/organization/bigmachines?user_key=0ebdc8274e821149894a240090945265
